"HASC_2","NAME_2","NAME_1","JC","complexBCJC","F1","BCJCxBCJA","F2xBCJC","BCJCxBC2JAvs","BC2JC","BCJC","F2","complexBCF","complexBCJA","BCJA","JA","BCJAxBCJA","BCJCxBC3JC","BC2JCxBC3JC","BC4JC","F1xBCJA","F1xF2","BCJCxBCJC","BC6JC","BCJCxBC2JC","BC2JAxBC3JC","mean_JC_struc","Hybrids","Total","Hybrid_perc"
"US.ME.PI","Piscataquis","Maine",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.851233,1,1,100
"US.ME.SO","Somerset","Maine",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99996575,0,4,0
"US.ME.YO","York","Maine",0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.879596666666667,6,6,100
"US.MI.CS","Cass","Michigan",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999961333333333,0,3,0
"US.MI.CU","Calhoun","Michigan",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.836261,2,2,100
"US.MI.DE","Delta","Michigan",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9982536,1,5,20
"US.MI.EA","Eaton","Michigan",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999964,0,1,0
"US.MI.IH","Ingham","Michigan",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999665,0,2,0
"US.MI.II","Ionia","Michigan",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7576535,1,2,50
"US.MI.KA","Kalamazoo","Michigan",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.609763,1,1,100
"US.MI.MR","Montmorency","Michigan",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999964,0,1,0
"US.MI.OD","Oakland","Michigan",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999964,0,1,0
"US.MI.SH","Shiawassee","Michigan",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999965,0,3,0
"US.MI.VA","Van Buren","Michigan",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998271,0,1,0
"US.MI.WE","Wexford","Michigan",5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.965449833333333,1,6,16.6666666666667
"US.MI.WS","Washtenaw","Michigan",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9965475,0,2,0
"US.MI.WY","Wayne","Michigan",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,2,0
"US.MN.AI","Aitkin","Minnesota",5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.939136666666667,1,6,16.6666666666667
